date,main_contract
2023-01-17,al2303.SF
2023-01-30,al2303.SF
2023-02-21,al2304.SF
2023-02-26,al2304.SF
2023-03-21,al2305.SF
2023-03-28,al2305.SF
2023-04-18,al2306.SF
2023-04-26,al2306.SF
2023-05-21,al2307.SF
2023-05-25,al2307.SF
2023-06-26,al2308.SF
2023-06-29,al2308.SF
2023-07-24,al2309.SF
2023-07-27,al2309.SF
2023-08-24,al2310.SF
2023-08-31,al2310.SF
2023-09-24,al2311.SF
2023-10-08,al2311.SF
2023-10-24,al2312.SF
2023-10-29,al2312.SF
2023-11-20,al2401.SF
2023-11-27,al2401.SF
2023-12-19,al2402.SF
2023-12-21,al2402.SF
2024-01-10,al2403.SF
2024-01-21,al2403.SF
2024-02-19,al2404.SF
2024-02-22,al2404.SF
2024-03-18,al2405.SF
2024-03-24,al2405.SF
2024-04-09,al2406.SF
2024-04-16,al2406.SF
2024-05-16,al2407.SF
2024-05-20,al2407.SF
2024-06-16,al2408.SF
2024-06-19,al2408.SF
2024-07-15,al2409.SF
2024-07-22,al2409.SF
2024-08-19,al2410.SF
2024-08-26,al2410.SF
2024-09-18,al2411.SF
2024-09-23,al2411.SF
2024-10-17,al2412.SF
2024-10-24,al2412.SF
2024-11-17,al2501.SF
2024-11-20,al2501.SF
2024-12-11,al2502.SF
2024-12-18,al2502.SF
