contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2407,2023-07-18,17990,17990,17965,18085,17960,18085,18000,95,10,3,27.005,2,
al2407,2023-07-19,18085,18000,,,,18000,18000,0,0,0,0,2,
al2407,2023-07-20,18000,18000,18035,18035,18030,18030,18030,30,30,4,36.065,6,
al2407,2023-07-21,18030,18030,18125,18125,18065,18070,18065,40,35,102,921.5,106,
al2407,2023-07-24,18070,18065,18130,18130,18130,18130,18130,65,65,1,9.065,107,
al2407,2023-07-25,18130,18130,18250,18250,18250,18250,18250,120,120,1,9.125,107,
al2407,2023-07-26,18250,18250,,,,18250,18250,0,0,0,0,107,
al2407,2023-07-27,18250,18250,18220,18345,18220,18345,18340,95,90,101,926.36,8,
al2407,2023-07-28,18345,18340,,,,18305,18305,-35,-35,0,0,8,
al2407,2023-07-31,18305,18305,18255,18285,18255,18285,18265,-20,-40,3,27.3975,11,
al2407,2023-08-01,18285,18265,18505,18505,18505,18505,18505,240,240,1,9.2525,12,
al2407,2023-08-02,18505,18505,18470,18470,18320,18325,18335,-180,-170,27,247.565,34,
al2407,2023-08-03,18325,18335,18300,18310,18270,18300,18295,-35,-40,64,585.5525,82,
al2407,2023-08-04,18300,18295,18325,18325,18325,18325,18325,30,30,1,9.1625,82,
al2407,2023-08-07,18325,18325,18330,18330,18290,18290,18310,-35,-15,2,18.31,83,
al2407,2023-08-08,18290,18310,18290,18310,18290,18310,18300,0,-10,2,18.3,83,
al2407,2023-08-09,18310,18300,18230,18270,18220,18270,18240,-30,-60,3,27.36,84,
al2407,2023-08-10,18270,18240,18255,18255,18220,18220,18245,-20,5,16,145.9825,90,
al2407,2023-08-11,18220,18245,18250,18295,18235,18235,18240,-10,-5,28,255.4175,95,
al2407,2023-08-14,18235,18240,18110,18135,18085,18085,18090,-155,-150,20,180.9175,111,
al2407,2023-08-15,18085,18090,,,,18100,18100,10,10,0,0,111,
al2407,2023-08-16,18100,18100,18155,18160,18080,18080,18135,-20,35,23,208.6,113,
al2407,2023-08-17,18080,18135,18060,18060,18060,18060,18060,-75,-75,1,9.03,114,
al2407,2023-08-18,18060,18060,18120,18120,18035,18105,18085,45,25,7,63.3025,118,
al2407,2023-08-21,18105,18085,18210,18210,18210,18210,18210,125,125,4,36.42,120,
al2407,2023-08-22,18210,18210,18210,18280,18210,18260,18235,50,25,9,82.065,120,
al2407,2023-08-23,18260,18235,18305,18370,18290,18335,18320,100,85,28,256.5175,127,
al2407,2023-08-24,18335,18320,18350,18375,18315,18375,18330,55,10,9,82.505,130,
al2407,2023-08-25,18375,18330,18275,18295,18275,18295,18285,-35,-45,2,18.285,132,
al2407,2023-08-28,18295,18285,18265,18265,18265,18265,18265,-20,-20,1,9.1325,132,
al2407,2023-08-29,18265,18265,18285,18365,18245,18365,18280,100,15,9,82.2725,134,
al2407,2023-08-30,18365,18280,18345,18445,18315,18410,18380,130,100,35,321.665,157,
al2407,2023-08-31,18410,18380,18530,18630,18530,18630,18555,250,175,22,204.14,158,
al2407,2023-09-01,18630,18555,18615,18940,18610,18840,18805,285,250,14,131.645,162,
al2407,2023-09-04,18840,18805,18800,18800,18535,18575,18630,-230,-175,11,102.485,165,
al2407,2023-09-05,18575,18630,18580,18690,18580,18620,18610,-10,-20,11,102.3725,166,
al2407,2023-09-06,18620,18610,18675,18800,18675,18800,18715,190,105,10,93.5975,170,
al2407,2023-09-07,18800,18715,18760,18790,18740,18775,18770,60,55,18,168.945,174,
al2407,2023-09-08,18775,18770,18730,18730,18575,18600,18645,-170,-125,70,652.6375,205,
al2407,2023-09-11,18600,18645,18755,18755,18735,18735,18750,90,105,5,46.8775,206,
al2407,2023-09-12,18735,18750,18755,18855,18755,18845,18835,95,85,18,169.5175,214,
al2407,2023-09-13,18845,18835,18845,19015,18695,18695,18750,-140,-85,90,843.76,273,
al2407,2023-09-14,18695,18750,18835,18835,18835,18835,18835,85,85,1,9.4175,273,
al2407,2023-09-15,18835,18835,18915,18970,18770,18930,18900,95,65,54,510.3,258,
al2407,2023-09-18,18930,18900,18765,18765,18695,18755,18740,-145,-160,7,65.605,258,
al2407,2023-09-19,18755,18740,18800,18900,18800,18900,18885,160,145,74,698.81,276,
al2407,2023-09-20,18900,18885,18830,18890,18830,18875,18865,-10,-20,14,132.0875,271,
al2407,2023-09-21,18875,18865,19080,19100,18980,19100,19050,235,185,3,28.58,271,
al2407,2023-09-22,19100,19050,18885,19145,18885,19025,19060,-25,10,244,2325.5075,286,
al2407,2023-09-25,19025,19060,19030,19030,18895,18990,18960,-70,-100,31,293.88,287,
al2407,2023-09-26,18990,18960,19020,19115,18935,19035,19040,75,80,21,199.9325,297,
al2407,2023-09-27,19035,19040,19050,19125,19050,19125,19080,85,40,5,47.71,297,
al2407,2023-09-28,19125,19080,19285,19310,19100,19110,19150,30,70,25,239.39,301,
al2407,2023-10-09,19110,19150,19095,19095,18900,18900,18910,-250,-240,74,699.8175,367,
al2407,2023-10-10,18900,18910,18860,18965,18825,18825,18910,-85,0,19,179.6875,378,
al2407,2023-10-11,18825,18910,18830,18885,18830,18855,18855,-55,-55,155,1461.5825,430,
al2407,2023-10-12,18855,18855,18825,18890,18770,18840,18815,-15,-40,96,903.3025,460,
al2407,2023-10-13,18840,18815,18780,18780,18700,18730,18740,-85,-75,96,899.5825,452,
al2407,2023-10-16,18730,18740,18720,18820,18720,18820,18740,80,0,22,206.185,467,
al2407,2023-10-17,18820,18740,18775,18775,18590,18640,18660,-100,-80,136,1269.1875,563,
al2407,2023-10-18,18640,18660,18740,18740,18690,18690,18720,30,60,3,28.085,564,
al2407,2023-10-19,18690,18720,18770,18805,18740,18740,18760,20,40,40,375.23,577,
al2407,2023-10-20,18740,18760,18810,18810,18710,18710,18740,-50,-20,9,84.33,581,
al2407,2023-10-23,18710,18740,18720,18720,18625,18640,18655,-100,-85,104,970.135,646,
al2407,2023-10-24,18640,18655,18660,18710,18635,18710,18695,55,40,50,467.385,668,
al2407,2023-10-25,18710,18695,18820,19000,18800,18965,18935,270,240,45,426.0725,680,
al2407,2023-10-26,18965,18935,18965,18990,18870,18870,18960,-65,25,17,161.1675,694,
al2407,2023-10-27,18870,18960,18800,18800,18800,18800,18800,-160,-160,1,9.4,693,
al2407,2023-10-30,18800,18800,18960,19085,18960,19060,19035,260,235,59,561.6125,695,
al2407,2023-10-31,19060,19035,19135,19155,19000,19045,19070,10,35,27,257.4775,697,
al2407,2023-11-01,19045,19070,18990,19070,18970,19060,19010,-10,-60,242,2300.7925,771,
al2407,2023-11-02,19060,19010,19050,19050,18980,18980,19000,-30,-10,76,722.1125,783,
al2407,2023-11-03,18980,19000,18965,18985,18935,18955,18965,-45,-35,58,550.0825,815,
al2407,2023-11-06,18955,18965,18970,18980,18900,18965,18945,0,-20,308,2917.585,1022,
al2407,2023-11-07,18965,18945,19050,19060,19015,19015,19035,70,90,5,47.5975,1022,
al2407,2023-11-08,19015,19035,19050,19085,19035,19085,19070,50,35,19,181.175,1023,
al2407,2023-11-09,19085,19070,19085,19105,19000,19010,19050,-60,-20,160,1524.3375,1097,
al2407,2023-11-10,19010,19050,18970,19055,18970,19025,19015,-25,-35,28,266.23,1105,
al2407,2023-11-13,19025,19015,18920,18920,18785,18820,18820,-195,-195,124,1167.0475,1149,
al2407,2023-11-14,18820,18820,18830,18905,18805,18870,18870,50,50,248,2340.32,1258,
al2407,2023-11-15,18870,18870,18885,18965,18865,18900,18890,30,20,31,292.8075,1253,
al2407,2023-11-16,18900,18890,18875,18875,18855,18875,18870,-15,-20,8,75.485,1254,
al2407,2023-11-17,18875,18870,18865,18865,18735,18760,18760,-110,-110,211,1979.64,1397,
al2407,2023-11-20,18760,18760,18730,18895,18715,18840,18810,80,50,354,3329.545,1588,
al2407,2023-11-21,18840,18810,18840,18875,18780,18785,18845,-25,35,277,2610.1,1726,
al2407,2023-11-22,18785,18845,18760,18830,18675,18700,18720,-145,-125,385,3604.145,1857,
al2407,2023-11-23,18700,18720,18745,18745,18640,18685,18675,-35,-45,347,3240.6325,2060,
al2407,2023-11-24,18685,18675,18680,18740,18675,18735,18710,60,35,351,3284.1375,2297,
al2407,2023-11-27,18735,18710,18720,18840,18660,18825,18790,115,80,409,3843,2546,
al2407,2023-11-28,18825,18790,18800,18800,18665,18695,18735,-95,-55,408,3822.0975,2794,
al2407,2023-11-29,18695,18735,18700,18750,18465,18485,18600,-250,-135,605,5626.6375,3128,
al2407,2023-11-30,18485,18600,18510,18555,18495,18550,18540,-50,-60,474,4394.3825,3498,
al2407,2023-12-01,18550,18540,18515,18525,18415,18440,18465,-100,-75,234,2160.9275,3657,
al2407,2023-12-04,18440,18465,18465,18610,18430,18460,18485,-5,20,267,2468.14,3759,
al2407,2023-12-05,18460,18485,18410,18430,18265,18290,18335,-195,-150,480,4400.96,4086,
al2407,2023-12-06,18290,18335,18245,18300,18185,18290,18250,-45,-85,742,6771.455,4331,
al2407,2023-12-07,18290,18250,18265,18300,18190,18250,18250,0,0,197,1798.08,4435,
al2407,2023-12-08,18250,18250,18205,18365,18145,18335,18310,85,60,1110,10164.6925,5265,
al2407,2023-12-11,18335,18310,18350,18375,18145,18240,18190,-70,-120,672,6112.5775,5807,
al2407,2023-12-12,18240,18190,18205,18275,18135,18235,18210,45,20,501,4562.56,6097,
al2407,2023-12-13,18235,18210,18250,18250,18125,18135,18170,-75,-40,176,1599.0225,6141,
al2407,2023-12-14,18135,18170,18195,18355,18155,18340,18270,170,100,239,2183.39,6105,
al2407,2023-12-15,18340,18270,18340,18565,18340,18500,18470,230,200,191,1764.0175,6016,
al2407,2023-12-18,18500,18470,18565,18755,18565,18730,18675,260,205,161,1503.375,5990,
al2407,2023-12-19,18730,18675,18740,18880,18740,18850,18800,175,125,253,2378.3425,5979,
al2407,2023-12-20,18850,18800,18820,18920,18760,18895,18855,95,55,238,2243.79,6002,
al2407,2023-12-21,18895,18855,18815,18900,18790,18895,18840,40,-15,126,1187.15,6000,
al2407,2023-12-22,18895,18840,18895,19130,18855,19100,18935,260,95,1238,11723.525,6007,
al2407,2023-12-25,19100,18935,19100,19250,18920,19055,19120,120,185,894,8548.655,6137,
al2407,2023-12-26,19055,19120,19025,19165,18970,19140,19040,20,-80,216,2056.8125,6186,
al2407,2023-12-27,19140,19040,19140,19205,19090,19190,19140,150,100,1213,11609.61,6209,
al2407,2023-12-28,19190,19140,19320,19510,19250,19325,19355,185,215,666,6446.5,6177,
al2407,2023-12-29,19325,19355,19235,19385,19205,19295,19290,-60,-65,642,6193.0775,6327,
al2407,2024-01-02,19295,19290,19190,19585,19160,19565,19410,275,120,623,6046.58,6525,
al2407,2024-01-03,19565,19410,19490,19495,19180,19205,19295,-205,-115,1173,11319.23,7041,
al2407,2024-01-04,19205,19295,19160,19260,19045,19105,19140,-190,-155,913,8738.425,7398,
al2407,2024-01-05,19105,19140,19060,19145,19020,19070,19090,-70,-50,481,4591.7725,7525,
al2407,2024-01-08,19070,19090,18995,19145,18950,19050,19005,-40,-85,464,4409.7225,7724,
al2407,2024-01-09,19050,19005,18970,18970,18855,18890,18910,-115,-95,710,6714.41,7762,
al2407,2024-01-10,18890,18910,18955,19045,18890,18915,18970,5,60,1094,10378.4925,7834,
al2407,2024-01-11,18915,18970,18915,18980,18885,18950,18935,-20,-35,663,6277.245,7989,
al2407,2024-01-12,18950,18935,18930,18955,18845,18900,18890,-35,-45,595,5620.3725,8073,
al2407,2024-01-15,18900,18890,18870,18930,18735,18785,18845,-105,-45,991,9337.725,8313,
al2407,2024-01-16,18785,18845,18745,18805,18675,18705,18735,-140,-110,1807,16929.545,9084,
al2407,2024-01-17,18705,18735,18735,18830,18720,18725,18775,-10,40,652,6121.02,9397,
al2407,2024-01-18,18725,18775,18710,18720,18635,18720,18675,-55,-100,769,7181.775,9490,
al2407,2024-01-19,18720,18675,18665,18665,18550,18585,18590,-90,-85,824,7660.5575,9753,
al2407,2024-01-22,18585,18590,18600,18710,18550,18610,18635,20,45,1488,13864.4625,10394,
al2407,2024-01-23,18610,18635,18620,18625,18535,18580,18560,-55,-75,1461,13560.3975,11077,
al2407,2024-01-24,18580,18560,18660,18880,18645,18870,18825,310,265,1533,14429.825,11489,
al2407,2024-01-25,18870,18825,18900,18925,18735,18770,18790,-55,-35,1016,9547.2825,11510,
al2407,2024-01-26,18770,18790,18815,18990,18775,18940,18935,150,145,2472,23408.7825,11726,
al2407,2024-01-29,18940,18935,18980,19075,18800,18875,18925,-60,-10,2809,26581.8175,12033,
al2407,2024-01-30,18875,18925,18900,18930,18825,18850,18870,-75,-55,904,8531.22,12045,
al2407,2024-01-31,18850,18870,18860,18940,18835,18880,18875,10,5,1331,12563.16,11862,
al2407,2024-02-01,18880,18875,18905,19030,18760,18790,18865,-85,-10,2120,20000.4725,12197,
al2407,2024-02-02,18790,18865,18770,18850,18700,18720,18760,-145,-105,1350,12663.8725,12525,
al2407,2024-02-05,18720,18760,18745,18770,18630,18675,18685,-85,-75,4037,37725.5975,14206,
al2407,2024-02-06,18675,18685,18635,18715,18610,18700,18650,15,-35,1380,12869.6575,14330,
al2407,2024-02-07,18700,18650,18705,18825,18705,18745,18780,95,130,3274,30748.4025,14456,
al2407,2024-02-08,18745,18780,18760,18810,18685,18745,18720,-35,-60,1088,10186.3275,14577,
al2407,2024-02-19,18745,18720,18745,18865,18595,18635,18690,-85,-30,4557,42587.8,16524,
al2407,2024-02-20,18635,18690,18660,18660,18500,18540,18565,-150,-125,6843,63532.025,19659,
al2407,2024-02-21,18540,18565,18550,18850,18520,18750,18675,185,110,6620,61818.395,20632,
al2407,2024-02-22,18750,18675,18750,18780,18565,18650,18660,-25,-15,4010,37415.92,21283,
al2407,2024-02-23,18650,18660,18630,18735,18540,18680,18615,20,-45,5908,55000.4025,23770,
al2407,2024-02-26,18680,18615,18650,18685,18560,18645,18615,30,0,4577,42604.51,24509,
al2407,2024-02-27,18645,18615,18640,18755,18610,18695,18675,80,60,6480,60514.9675,25504,
al2407,2024-02-28,18695,18675,18710,18725,18615,18625,18660,-50,-15,5570,51973.42,25968,
al2407,2024-02-29,18625,18660,18650,18750,18595,18725,18670,65,10,4840,45191.23,26178,
al2407,2024-03-01,18725,18670,18755,18805,18740,18780,18780,110,110,4811,45175.905,26481,
al2407,2024-03-04,18780,18780,18795,18860,18755,18840,18795,60,15,4573,42978.6275,26608,
al2407,2024-03-05,18840,18795,18840,18955,18800,18895,18900,100,105,5237,49491.21,27174,
al2407,2024-03-06,18895,18900,18915,18960,18805,18895,18870,-5,-30,5139,48499.1825,28116,
al2407,2024-03-07,18895,18870,18920,18990,18880,18960,18935,90,65,5657,53570.225,28379,
al2407,2024-03-08,18960,18935,19050,19065,18970,19025,19020,90,85,4997,47532.16,29224,
al2407,2024-03-11,19025,19020,19030,19045,18910,19005,18985,-15,-35,5365,50930.775,30284,
al2407,2024-03-12,19005,18985,19010,19070,18965,19020,19025,35,40,4048,38506.665,30441,
al2407,2024-03-13,19020,19025,19040,19100,18970,19080,19040,55,15,4022,38296.11,31191,
al2407,2024-03-14,19080,19040,19120,19200,19025,19025,19130,-15,90,8262,79032.205,32794,
al2407,2024-03-15,19025,19130,19020,19180,18995,19155,19115,25,-15,7629,72915.37,34966,
al2407,2024-03-18,19155,19115,19155,19245,19120,19165,19165,50,50,12158,116520.9875,35044,
al2407,2024-03-19,19165,19165,19195,19330,19090,19135,19205,-30,40,12203,117187.1975,35510,
al2407,2024-03-20,19135,19205,19090,19245,19080,19220,19180,15,-25,10903,104564.23,36896,
al2407,2024-03-21,19220,19180,19235,19400,19225,19400,19315,220,135,16015,154693.8125,38390,
al2407,2024-03-22,19400,19315,19450,19460,19280,19340,19340,25,25,19119,184927.3525,41559,
al2407,2024-03-25,19340,19340,19345,19525,19345,19420,19430,80,90,21329,207211.5325,43843,
al2407,2024-03-26,19420,19430,19475,19590,19455,19485,19520,55,90,24887,242903.5775,49838,
al2407,2024-03-27,19485,19520,19500,19525,19370,19410,19445,-110,-75,24456,237785.3475,56470,
al2407,2024-03-28,19410,19445,19375,19495,19355,19465,19435,20,-10,17529,170361,59443,
al2407,2024-03-29,19465,19435,19515,19700,19490,19660,19595,225,160,26366,258331.8,62614,
al2407,2024-04-01,19660,19595,19655,19750,19560,19715,19655,120,60,22743,223533.52,67014,
al2407,2024-04-02,19715,19655,19700,19765,19640,19755,19695,100,40,21591,212654.4225,70553,
al2407,2024-04-03,19755,19695,19815,19915,19765,19880,19845,185,150,37460,371770.85,76348,
al2407,2024-04-08,19880,19845,20100,20360,19915,20160,20125,315,280,48778,490905.81,86343,
al2407,2024-04-09,20160,20125,20180,20285,20085,20200,20195,75,70,35864,362183.8075,91312,
al2407,2024-04-10,20200,20195,20255,20495,20200,20480,20365,285,170,58317,593929.1025,100775,
al2407,2024-04-11,20480,20365,20500,20550,20200,20430,20385,65,20,63691,649286.38,107147,
al2407,2024-04-12,20430,20385,20410,20750,20355,20705,20560,320,175,61982,637266.16,114782,
al2407,2024-04-15,20705,20560,20725,21305,20580,20680,20850,120,290,125595,1309403.3325,115427,
al2407,2024-04-16,20680,20850,20650,20705,20160,20165,20395,-685,-455,99613,1016034.38,116909,
al2407,2024-04-17,20165,20395,20195,20375,20155,20355,20295,-40,-100,71469,725312.895,119356,
al2407,2024-04-18,20355,20295,20375,20490,20225,20460,20385,165,90,71206,725800.5875,124325,
al2407,2024-04-19,20460,20385,20490,20560,20270,20355,20385,-30,0,95720,975679.665,124430,
al2407,2024-04-22,20355,20385,20400,20835,20390,20520,20580,135,195,123484,1270714.1175,130510,
al2407,2024-04-23,20520,20580,20535,20610,20155,20220,20380,-360,-200,116884,1191051.865,140436,
al2407,2024-04-24,20220,20380,19995,20325,19970,20270,20175,-110,-205,108184,1091392.12,150811,
al2407,2024-04-25,20270,20175,20300,20510,20250,20500,20360,325,185,100986,1028044.78,161996,
al2407,2024-04-26,20500,20360,20560,20665,20370,20640,20520,280,160,91673,940770.645,174892,
al2407,2024-04-29,20640,20520,20640,20775,20540,20560,20655,40,135,104272,1076965.97,186333,
al2407,2024-04-30,20560,20655,20600,20750,20520,20595,20630,-60,-25,95661,986898.365,194678,
al2407,2024-05-06,20595,20630,20495,20820,20490,20760,20695,130,65,67341,696966.085,202463,
al2407,2024-05-07,20760,20695,20800,20840,20600,20650,20720,-45,25,84834,878909.19,210123,
al2407,2024-05-08,20650,20720,20630,20670,20410,20440,20510,-280,-210,123173,1263342.655,212497,
al2407,2024-05-09,20440,20510,20390,20705,20385,20615,20585,105,75,90180,928353.4075,220905,
al2407,2024-05-10,20615,20585,20625,20790,20580,20745,20675,160,90,93037,961966.225,231738,
al2407,2024-05-13,20745,20675,20615,20655,20350,20595,20510,-80,-165,154057,1579915.185,227079,
al2407,2024-05-14,20595,20510,20680,20745,20520,20575,20635,65,125,112740,1163270.8425,231417,
al2407,2024-05-15,20575,20635,20490,20570,20420,20530,20485,-105,-150,114789,1175873.0025,233423,
al2407,2024-05-16,20530,20485,20530,20935,20450,20800,20735,315,250,229497,2379339.06,277003,
al2407,2024-05-17,20800,20735,20670,20995,20650,20995,20825,260,90,214584,2234644.075,305906,
al2407,2024-05-20,20995,20825,20965,21370,20925,20945,21080,120,255,335211,3533257.9275,292540,
al2407,2024-05-21,20945,21080,20890,21565,20820,21095,21135,15,55,484283,5117858.09,289420,
al2407,2024-05-22,21095,21135,21350,21620,21170,21375,21390,240,255,408618,4370467.7525,297959,
al2407,2024-05-23,21375,21390,21110,21220,20700,20780,20955,-610,-435,320362,3357080.74,256751,
al2407,2024-05-24,20780,20955,20770,20980,20770,20855,20890,-100,-65,207880,2171633.74,240967,
al2407,2024-05-27,20855,20890,20975,21085,20910,20910,21000,20,110,193586,2032899.11,237514,
al2407,2024-05-28,20910,21000,20925,21315,20925,21190,21185,190,185,236297,2503190.5975,238540,
al2407,2024-05-29,21190,21185,21250,21520,21125,21520,21305,335,120,258576,2754631.2525,246022,
al2407,2024-05-30,21520,21305,21350,22040,21350,21560,21740,255,435,572669,6225859.69,243775,
al2407,2024-05-31,21560,21740,21360,21555,21280,21535,21440,-205,-300,298569,3201034.17,225542,
al2407,2024-06-03,21535,21440,21630,21670,21070,21170,21280,-270,-160,336554,3581521.8675,202109,
al2407,2024-06-04,21170,21280,21280,21465,21160,21395,21295,115,15,225850,2405162.4325,189981,
al2407,2024-06-05,21395,21295,21295,21350,21120,21135,21245,-160,-50,201627,2142240.73,177411,
al2407,2024-06-06,21135,21245,21090,21365,21050,21280,21225,35,-20,174539,1852653.795,171189,
al2407,2024-06-07,21280,21225,21265,21445,21195,21220,21300,-5,75,157654,1679299.9475,160267,
al2407,2024-06-11,21220,21300,21020,21025,20820,20905,20920,-395,-380,148974,1558531.6275,150384,
al2407,2024-06-12,20905,20920,20820,20900,20730,20800,20820,-120,-100,138313,1439841.89,140419,
al2407,2024-06-13,20800,20820,20970,20980,20615,20645,20750,-175,-70,148462,1540332.3925,132551,
al2407,2024-06-14,20645,20750,20730,20740,20545,20565,20625,-185,-125,100498,1036462.18,125287,
al2407,2024-06-17,20565,20625,20510,20535,20240,20280,20390,-345,-235,107399,1095104.4825,102172,
al2407,2024-06-18,20280,20390,20240,20445,20230,20360,20360,-30,-30,52899,538626.0375,91448,
al2407,2024-06-19,20360,20360,20340,20500,20295,20435,20430,75,70,31989,326793.1625,86466,
al2407,2024-06-20,20435,20430,20455,20555,20450,20555,20500,125,70,28023,287295.8575,80475,
al2407,2024-06-21,20555,20500,20565,20600,20415,20430,20495,-70,-5,27418,281024.7475,76720,
al2407,2024-06-24,20430,20495,20370,20430,20280,20325,20350,-170,-145,41801,425350.235,69410,
al2407,2024-06-25,20325,20350,20350,20420,20245,20275,20305,-75,-45,26853,272649.6125,61655,
al2407,2024-06-26,20275,20305,20245,20300,20105,20275,20190,-30,-115,35790,361328.815,52930,
al2407,2024-06-27,20275,20190,20295,20320,20140,20150,20220,-40,30,23343,236019.8225,45086,
al2407,2024-06-28,20150,20220,20195,20280,20130,20265,20215,45,-5,17109,172955.16,37600,
al2407,2024-07-01,20265,20215,20350,20365,20180,20275,20245,60,30,11975,121236.475,35120,
al2407,2024-07-02,20275,20245,20300,20350,20230,20345,20300,100,55,10050,102013.7,32085,
al2407,2024-07-03,20345,20300,20350,20435,20310,20435,20365,135,65,10545,107399.05,29180,
al2407,2024-07-04,20435,20365,20450,20465,20350,20385,20410,20,45,9385,95775.0875,25905,
al2407,2024-07-05,20385,20410,20370,20455,20250,20255,20320,-155,-90,10825,109987.5,23190,
al2407,2024-07-08,20255,20320,20305,20415,20260,20300,20295,-20,-25,9745,98908.4375,20025,
al2407,2024-07-09,20300,20295,20340,20430,20280,20390,20360,95,65,7345,74779.4875,16555,
al2407,2024-07-10,20390,20360,20365,20385,20010,20090,20235,-270,-125,9170,92780.475,14605,
al2407,2024-07-11,20090,20235,20185,20225,20100,20170,20165,-65,-70,6165,62161.6125,11030,
al2407,2024-07-12,20170,20165,20220,20220,19850,19965,19990,-200,-175,4735,47329.825,8815,
al2407,2024-07-15,19965,19990,19930,20045,19475,19890,19950,-100,-40,4490,44790.35,8235,
