contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2401,2023-01-17,18500,18500,,,,18600,18600,100,100,0,0,0,
al2401,2023-01-18,18600,18600,18660,18880,18660,18880,18805,280,205,8,75.2325,6,
al2401,2023-01-19,18880,18805,18990,19185,18930,18930,19020,125,215,9,85.6075,9,
al2401,2023-01-20,18930,19020,19180,19200,19180,19200,19190,180,170,5,47.98,14,
al2401,2023-01-30,19200,19190,19025,19025,18860,18940,18930,-250,-260,19,179.865,22,
al2401,2023-01-31,18940,18930,18900,18900,18800,18860,18850,-70,-80,8,75.4025,19,
al2401,2023-02-01,18860,18850,18940,19140,18940,19070,19070,220,220,90,858.245,97,
al2401,2023-02-02,19070,19070,19105,19105,18965,18970,19035,-100,-35,82,780.62,135,
al2401,2023-02-03,18970,19035,19005,19005,18840,18975,18905,-60,-130,15,141.8075,138,
al2401,2023-02-06,18975,18905,18985,18985,18755,18945,18845,40,-60,22,207.3075,149,
al2401,2023-02-07,18945,18845,18880,19000,18850,18935,18925,90,80,27,255.5075,163,
al2401,2023-02-08,18935,18925,18980,19050,18900,18960,18985,35,60,17,161.385,171,
al2401,2023-02-09,18960,18985,18880,18880,18705,18790,18760,-195,-225,50,469.0475,200,
al2401,2023-02-10,18790,18760,18720,18810,18545,18575,18635,-185,-125,28,260.9,213,
al2401,2023-02-13,18575,18635,18550,18575,18385,18475,18450,-160,-185,74,682.735,239,
al2401,2023-02-14,18475,18450,18455,18560,18455,18510,18500,60,50,17,157.27,247,
al2401,2023-02-15,18510,18500,18455,18455,18275,18275,18335,-225,-165,56,513.48,296,
al2401,2023-02-16,18275,18335,18255,18460,18235,18410,18325,75,-10,65,595.6,314,
al2401,2023-02-17,18410,18325,18435,18485,18405,18405,18440,80,115,20,184.4125,320,
al2401,2023-02-20,18405,18440,18365,18675,18340,18650,18565,210,125,37,343.5425,338,
al2401,2023-02-21,18650,18565,18700,18700,18615,18615,18675,50,110,15,140.0925,340,
al2401,2023-02-22,18615,18675,18700,18700,18645,18650,18665,-25,-10,4,37.33,341,
al2401,2023-02-23,18650,18665,18650,18680,18650,18680,18665,15,0,3,28.0025,340,
al2401,2023-02-24,18680,18665,18485,18555,18445,18520,18500,-145,-165,4,37.0025,341,
al2401,2023-02-27,18520,18500,18520,18520,18240,18240,18460,-260,-40,156,1440.08,452,
al2401,2023-02-28,18240,18460,18250,18465,18250,18370,18275,-90,-185,62,566.655,507,
al2401,2023-03-01,18370,18275,18350,18600,18350,18600,18490,325,215,8,73.9775,507,
al2401,2023-03-02,18600,18490,18570,18570,18495,18495,18525,5,35,30,277.8825,529,
al2401,2023-03-03,18495,18525,18530,18550,18510,18550,18515,25,-10,7,64.815,533,
al2401,2023-03-06,18550,18515,18535,18575,18380,18410,18530,-105,15,72,667.1175,564,
al2401,2023-03-07,18410,18530,18440,18520,18440,18460,18450,-70,-80,68,627.4075,565,
al2401,2023-03-08,18460,18450,18405,18420,18340,18420,18385,-30,-65,6,55.16,565,
